Publisher Label,Publisher URI,Location,Type,Year
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Easton-in-Gordano - Macrae Road,No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Easton-in-Gordano - The Orchard, Watchhouse Hill",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Easton-in-Gordano - Rudleigh Inn Cricket Ground,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Easton-in-Gordano - Victoria Parl,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Hutton - Springwood Recreation Ground, Springwood Gardens",Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Hutton - St Mary's Field, St Mary's Road",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Kewstoke - Playground, Junction of Crookes Lane and Lower Norton Road",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Kewstoke - The Recreation Ground, Crookes Lane",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Locking Village - The Village Park, Grenville Avenue",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Long Ashton -  Birdwell Recreation Ground,No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Long Ashton - Keedwell Recreation Ground, Keedwell Hill",Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Pill - Lodway Cricket Club, Ham Green",Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Portishead - Bristol Road,No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Sandford - Children's Play Area, Winnowing End",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Weston-super-Mare - Marine Lake,No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Weston-super-Mare - St Georges Community Centre, St Georges",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Weston-super-Mare - St Georges Football Pitch, St Georges",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Weston-super-Mare - The Copse, St Georges",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Winford - Raglan Field, Kingston Lane",No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Wrington - Silver Street Recreational Field,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Wrington - Village Green,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Yatton - Rock Road,No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Clevedon - Beach,No Dogs Allowed,2010
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Yatton - Hangstones Playing Field,No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Weston-super-Mare � Promenade,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Portishead - Marina,All Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Blagdon - The Rocks,Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,"Portishead - The Promenade, Lakegrounds",Dogs on Leads,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Clevedon - Marine Lake,No Dogs Allowed,2007
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Clevedon - Promenade,Dogs on Leads,2012
North Somerset Council,http://opendatacommunities.org/id/unitary-authority/north-somerset,Weston-super-Mare - Weston Beach between Grand Pier and Royal Sands,No Dogs Allowed (1st May - 30th Sept),2007
